soil_type,N,P,K,ph,organic_carbon,ec,health_score,health_class
Desert,137.8,37.4,18.8,7.61,2.66,1.11,63.3,Moderate
Red,50.3,122.4,40.5,6.27,2.83,0.22,63.5,Moderate
Black,135.3,114.3,161.7,8.8,1.47,1.6,53.7,Moderate
Red,54.6,97.7,22.0,3.75,2.32,0.75,58.0,Moderate
Black,29.9,69.7,141.1,6.08,2.42,2.58,72.5,Moderate
Black,4.1,47.9,205.4,8.2,2.86,2.48,37.4,Poor
Mountain,141.8,60.0,63.9,5.03,2.06,2.67,69.5,Moderate
Black,103.3,80.5,134.9,8.07,1.45,1.03,79.4,Healthy
Black,142.2,47.3,137.2,8.99,2.65,0.69,50.9,Moderate
Alluvial,134.1,64.2,75.2,8.44,1.53,3.93,68.0,Moderate
Laterite,52.6,84.4,68.4,3.73,0.29,0.79,66.2,Moderate
Black,94.4,122.6,112.5,8.72,0.36,2.95,58.4,Moderate
Alluvial,52.8,127.6,17.7,3.73,0.29,0.59,45.2,Poor
Laterite,37.3,26.3,139.2,7.52,1.48,3.37,79.8,Healthy
Red,63.5,109.3,20.7,7.18,0.94,2.77,75.6,Healthy
Laterite,103.5,37.2,21.3,6.41,0.68,3.09,82.8,Healthy
Laterite,90.4,139.3,158.6,6.1,2.26,2.12,68.3,Moderate
Laterite,55.0,83.4,200.7,8.01,2.43,1.51,64.1,Moderate
Desert,61.7,135.1,23.9,5.69,1.38,0.35,72.8,Moderate
Black,130.5,11.2,133.8,8.72,0.46,1.56,61.0,Moderate
Desert,62.3,11.8,79.4,4.69,3.0,2.36,67.9,Moderate
Red,12.9,149.9,141.3,8.51,0.27,3.48,25.8,Poor
Mountain,37.0,80.7,74.2,6.08,2.92,0.97,75.7,Healthy
Laterite,134.3,70.9,48.4,4.29,2.39,3.43,61.4,Moderate
Red,92.4,78.5,179.0,7.02,2.05,0.39,87.2,Healthy
Alluvial,93.5,145.9,46.1,8.31,0.58,0.25,70.2,Moderate
Alluvial,133.1,11.6,107.0,6.9,0.93,2.55,76.0,Healthy
Laterite,33.4,111.3,110.9,5.73,2.14,1.16,75.2,Healthy
Desert,111.5,60.6,88.8,5.53,1.2,1.0,98.5,Healthy
Desert,136.9,126.9,115.8,6.58,1.32,2.57,64.7,Moderate
Desert,35.6,128.2,86.3,7.65,2.98,3.57,54.2,Moderate
Red,133.5,106.0,152.6,4.19,0.22,1.71,49.6,Poor
Mountain,143.8,74.5,1.7,6.01,1.86,3.19,47.4,Poor
Alluvial,146.3,107.8,145.0,4.37,2.39,1.35,49.0,Poor
Black,59.2,121.1,208.5,6.53,0.76,1.84,66.9,Moderate
Alluvial,63.8,137.3,38.0,7.24,2.05,2.27,82.1,Healthy
Alluvial,103.4,117.7,124.0,5.24,1.24,0.35,83.3,Healthy
Mountain,19.7,59.0,115.1,4.87,0.33,2.83,63.0,Moderate
Alluvial,38.4,5.5,92.8,6.12,1.98,3.11,69.6,Moderate
Desert,65.0,70.3,101.3,7.45,2.37,1.71,90.3,Healthy
Black,57.6,11.7,40.4,4.05,1.87,3.8,65.3,Moderate
Desert,122.2,85.5,19.7,6.49,1.99,2.69,76.6,Healthy
Desert,10.1,71.1,91.3,6.28,1.98,3.41,73.1,Moderate
Black,47.6,15.1,98.8,4.3,1.95,2.18,70.7,Moderate
Mountain,92.6,36.9,118.0,4.27,0.2,0.95,69.8,Moderate
Black,13.9,56.2,167.7,3.79,2.3,1.26,53.0,Moderate
Black,148.4,60.3,31.1,4.71,1.74,3.1,59.5,Moderate
Desert,42.0,138.5,95.4,8.91,1.61,2.17,56.4,Moderate
Desert,143.7,50.6,88.6,4.85,0.55,1.84,62.9,Moderate
Black,23.1,83.9,188.4,8.26,2.47,0.47,53.4,Moderate
Alluvial,114.6,67.0,140.3,8.45,2.04,0.77,80.7,Healthy
Red,16.6,143.8,132.4,5.51,0.19,1.54,43.1,Poor
Black,119.3,94.6,9.9,6.77,0.29,0.6,65.7,Moderate
Red,25.9,73.8,70.3,8.54,2.27,3.12,56.6,Moderate
Red,21.6,49.7,35.7,7.81,0.53,3.46,69.4,Moderate
Red,52.0,0.6,179.8,8.39,2.07,1.77,51.4,Moderate
Alluvial,89.9,55.0,208.7,4.52,2.31,3.39,62.0,Moderate
Black,109.3,29.5,193.5,8.0,1.12,3.82,70.1,Moderate
Red,147.1,134.8,181.3,6.02,0.99,2.3,46.1,Poor
Red,7.5,24.1,124.5,6.76,0.67,2.74,68.6,Moderate
Alluvial,43.6,37.9,187.6,5.56,1.97,1.59,72.3,Moderate
Red,139.4,135.6,209.7,3.83,2.76,2.5,26.1,Poor
Mountain,37.3,47.5,126.6,7.44,2.7,2.07,74.9,Moderate
Mountain,37.0,81.6,64.8,4.4,1.51,1.9,68.1,Moderate
Black,118.5,82.9,79.2,7.7,1.76,2.57,91.7,Healthy
Red,148.8,50.4,128.5,5.44,2.29,3.77,58.6,Moderate
Black,23.3,112.4,180.0,8.89,0.32,0.61,38.5,Poor
Red,143.8,87.1,56.4,6.62,2.16,0.11,75.1,Healthy
Laterite,42.5,56.5,170.3,6.72,0.23,1.03,74.7,Moderate
Red,84.4,58.3,13.3,8.64,0.73,0.64,76.8,Healthy
Alluvial,46.2,123.2,181.7,3.55,2.43,0.91,46.8,Poor
Alluvial,2.8,5.3,40.5,7.44,1.22,1.96,64.3,Moderate
Desert,68.3,37.3,177.5,6.15,0.46,2.33,72.3,Moderate
Red,17.1,84.2,63.9,5.83,2.96,1.84,63.4,Moderate
Desert,140.2,40.2,108.4,5.29,0.28,3.7,56.5,Moderate
Laterite,8.6,80.4,101.8,5.29,0.88,3.17,56.6,Moderate
Mountain,136.6,34.0,14.5,6.48,2.98,0.35,67.3,Moderate
Alluvial,142.1,32.2,42.8,4.02,2.39,0.39,71.9,Moderate
Black,128.7,6.0,50.7,4.16,0.97,1.55,66.4,Moderate
Red,55.2,44.5,44.0,4.89,1.58,1.94,85.7,Healthy
Alluvial,31.6,121.0,144.1,7.87,0.67,3.2,62.1,Moderate
Black,94.4,67.0,109.8,3.63,1.97,2.29,72.0,Moderate
Desert,129.7,130.4,209.2,8.8,2.04,2.84,35.5,Poor
Black,65.7,111.7,207.3,3.66,2.36,0.79,44.9,Poor
Black,109.9,100.6,56.4,4.71,0.23,2.52,62.8,Moderate
Desert,105.6,79.6,100.4,7.43,1.48,3.51,91.0,Healthy
Mountain,3.0,109.7,172.2,6.62,2.73,1.75,44.2,Poor
Alluvial,9.2,93.5,26.8,8.79,1.45,0.8,50.9,Moderate
Mountain,10.7,18.0,193.6,3.58,1.54,1.69,44.9,Poor
Desert,95.9,23.9,191.7,5.42,2.89,0.58,70.4,Moderate
Red,27.7,21.5,35.2,5.2,2.41,3.44,61.3,Moderate
Mountain,144.6,140.4,189.0,7.68,2.0,2.31,44.4,Poor
Alluvial,18.9,78.9,208.0,4.47,1.64,1.18,57.0,Moderate
Desert,37.5,84.5,79.0,7.73,1.07,3.22,70.6,Moderate
Laterite,88.4,76.6,210.0,8.04,2.0,3.95,62.2,Moderate
Mountain,91.7,140.5,112.6,4.08,2.33,3.16,55.7,Moderate
Black,66.0,94.4,152.5,4.51,0.42,3.35,60.0,Moderate
Alluvial,17.5,82.6,106.2,6.71,2.7,3.0,62.5,Moderate
Mountain,118.0,2.7,33.6,8.91,1.5,1.1,67.2,Moderate
Mountain,43.8,61.3,208.0,4.4,2.28,0.04,63.4,Moderate
Desert,141.2,7.4,97.5,8.82,0.22,0.32,40.0,Poor
Laterite,47.0,22.0,138.8,5.86,1.44,0.3,90.6,Healthy
Alluvial,40.1,140.1,201.2,8.75,2.13,0.69,39.0,Poor
Desert,100.3,116.0,179.7,8.89,1.98,3.23,49.1,Poor
Black,70.7,58.9,68.1,5.7,2.42,3.71,87.0,Healthy
Mountain,12.6,67.5,68.0,3.6,1.93,2.05,64.5,Moderate
Red,101.5,121.1,18.4,5.12,1.86,1.32,72.0,Moderate
Desert,76.6,37.4,62.7,8.48,0.44,3.26,68.5,Moderate
Red,28.7,140.8,80.0,5.52,2.35,2.15,57.8,Moderate
Red,7.2,87.8,23.9,5.42,0.91,3.32,51.1,Moderate
Desert,1.9,141.1,62.1,5.72,0.43,2.43,47.3,Poor
Mountain,12.6,111.2,177.1,4.53,0.67,3.93,38.0,Poor
Red,135.1,23.2,115.1,7.1,1.42,2.99,84.0,Healthy
Mountain,84.8,22.3,141.3,7.81,2.01,0.89,93.6,Healthy
Laterite,53.4,26.3,98.9,5.76,1.37,0.76,94.0,Healthy
Alluvial,47.2,98.2,12.3,5.13,2.33,2.74,61.9,Moderate
Black,140.0,22.7,179.7,4.13,0.96,0.01,61.6,Moderate
Laterite,108.3,73.7,157.6,7.95,0.16,2.48,63.5,Moderate
Alluvial,129.3,73.2,113.6,6.19,1.66,2.47,85.9,Healthy
Black,41.3,67.4,56.0,5.02,1.16,0.33,83.8,Healthy
Mountain,52.3,126.4,171.1,4.17,2.71,2.18,49.9,Poor
Desert,84.3,53.7,205.3,5.4,2.81,3.49,57.9,Moderate
Alluvial,109.8,37.3,97.6,4.19,2.24,1.78,79.6,Healthy
Desert,16.8,107.6,189.0,7.48,0.6,2.2,53.0,Moderate
Laterite,115.2,70.4,1.8,3.92,2.64,0.7,55.6,Moderate
Desert,119.9,120.1,80.8,7.2,2.04,0.58,88.2,Healthy
Mountain,129.0,42.4,187.9,7.56,1.68,1.54,74.4,Moderate
Red,0.9,117.5,64.2,8.48,2.02,1.55,53.5,Moderate
Alluvial,82.3,131.7,151.9,3.62,1.75,0.22,64.3,Moderate
Mountain,57.9,141.3,43.1,8.68,2.26,0.12,67.2,Moderate
Alluvial,39.2,36.7,159.6,7.28,0.84,3.08,77.6,Healthy
Alluvial,80.3,107.5,169.8,6.01,1.57,2.73,74.6,Moderate
Desert,88.0,142.5,174.3,7.03,2.6,2.77,55.7,Moderate
Mountain,57.8,15.2,89.8,4.38,0.63,0.44,78.4,Healthy
Black,12.0,98.6,172.4,4.35,2.42,0.09,45.7,Poor
Laterite,41.5,2.5,61.0,4.09,1.84,2.06,62.0,Moderate
Red,56.1,54.0,182.5,7.59,0.8,3.86,72.1,Moderate
Black,127.5,6.4,181.1,3.62,2.92,1.25,37.0,Poor
Red,72.7,139.5,20.5,7.85,1.31,0.32,71.1,Moderate
Laterite,80.6,40.8,104.3,8.91,1.33,1.59,81.6,Healthy
Black,49.2,8.3,173.4,5.78,1.18,2.54,66.6,Moderate
Alluvial,46.0,50.2,196.6,8.48,2.36,3.24,57.0,Moderate
Red,9.8,66.0,32.6,8.64,0.58,3.58,47.4,Poor
Laterite,55.9,67.5,104.8,5.88,0.99,1.49,94.4,Healthy
Red,46.0,44.3,209.5,6.89,1.73,3.96,70.8,Moderate
Alluvial,20.9,9.3,83.9,6.06,0.71,3.97,62.0,Moderate
Mountain,70.3,111.8,138.8,8.1,1.97,1.93,77.3,Healthy
Black,31.0,21.5,197.8,8.15,1.67,3.77,49.5,Poor
Mountain,46.9,77.6,133.8,5.04,0.33,2.72,63.0,Moderate
Red,121.4,90.8,165.8,6.11,1.35,1.71,79.9,Healthy
Mountain,81.8,141.4,92.3,5.98,0.16,1.3,68.8,Moderate
Laterite,123.8,120.1,116.1,8.37,2.09,3.19,64.4,Moderate
Mountain,60.2,97.5,81.3,4.59,1.6,3.47,70.8,Moderate
Black,1.4,58.3,88.3,4.35,2.35,0.17,63.8,Moderate
Alluvial,77.3,30.8,188.2,6.59,2.74,0.84,75.5,Healthy
Alluvial,131.6,94.7,188.2,5.08,2.85,2.54,45.3,Poor
Alluvial,7.7,1.3,7.9,4.52,0.6,2.27,26.8,Poor
Desert,25.2,108.6,72.2,6.59,2.86,3.52,50.1,Moderate
Mountain,127.8,70.2,209.4,7.38,2.67,1.94,56.9,Moderate
Desert,53.3,111.9,39.9,3.89,1.13,1.39,67.7,Moderate
Laterite,147.7,6.7,114.7,8.93,2.8,0.1,34.8,Poor
Laterite,48.3,60.4,73.3,7.49,2.12,3.05,80.6,Healthy
Mountain,130.6,52.8,171.0,6.33,0.54,2.73,65.3,Moderate
Mountain,20.6,132.8,85.9,7.13,1.51,3.35,59.3,Moderate
Mountain,87.8,28.9,97.2,8.06,0.36,1.55,83.6,Healthy
Alluvial,54.7,126.1,155.9,8.24,1.03,3.76,58.5,Moderate
Red,126.5,66.0,14.4,3.53,2.22,3.53,57.4,Moderate
Laterite,133.3,125.4,165.9,3.64,0.36,1.71,39.4,Poor
Black,121.5,101.4,101.4,8.36,2.19,3.23,71.4,Moderate
Red,72.1,127.0,117.7,5.47,0.95,0.27,76.5,Healthy
Alluvial,86.2,8.1,104.7,6.16,1.41,2.66,84.0,Healthy
Desert,58.7,59.2,121.0,4.1,1.94,0.84,81.4,Healthy
Mountain,127.3,66.0,62.1,5.43,0.91,0.6,89.2,Healthy
Alluvial,2.3,18.6,106.5,7.27,1.56,3.88,62.6,Moderate
Black,46.3,75.8,74.0,6.37,0.66,0.33,87.3,Healthy
Mountain,61.0,49.3,169.2,7.53,2.5,2.66,73.2,Moderate
Black,125.6,141.6,136.1,4.29,1.69,0.11,64.5,Moderate
Red,113.9,32.5,166.3,4.22,2.12,2.33,71.1,Moderate
Mountain,114.9,101.6,12.3,4.48,2.95,3.07,51.0,Moderate
Red,11.7,91.4,98.7,6.92,2.83,0.14,60.5,Moderate
Desert,28.0,142.6,184.2,6.9,1.96,1.18,61.1,Moderate
Mountain,8.2,83.2,49.1,6.4,1.59,2.86,71.0,Moderate
Mountain,4.0,118.3,171.9,8.39,2.54,0.77,34.9,Poor
Desert,97.8,57.9,130.4,3.64,0.39,2.97,61.0,Moderate
Black,88.6,26.7,50.2,6.61,0.37,3.68,86.4,Healthy
Black,44.6,43.1,13.5,6.99,2.84,3.85,66.3,Moderate
Laterite,25.5,112.6,29.5,5.82,0.59,1.85,60.7,Moderate
Laterite,118.7,68.5,102.9,5.12,1.12,0.69,92.0,Healthy
Alluvial,138.8,116.4,148.0,8.03,2.55,1.17,59.9,Moderate
Red,65.8,29.9,29.5,5.82,1.42,3.22,90.8,Healthy
Mountain,108.9,14.2,169.9,5.47,1.65,3.39,68.2,Moderate
Alluvial,79.4,49.1,202.1,4.35,2.43,2.37,61.9,Moderate
Desert,144.8,144.2,134.1,6.1,1.12,3.1,59.8,Moderate
Mountain,57.2,46.7,149.6,8.27,1.7,3.95,78.7,Healthy
Laterite,39.4,113.5,68.5,5.41,0.24,2.23,60.3,Moderate
Red,54.3,13.3,150.6,6.29,1.12,0.97,87.4,Healthy
Black,103.0,129.4,160.1,4.67,1.78,2.9,59.8,Moderate
Red,20.9,33.2,164.5,6.29,1.29,3.2,71.8,Moderate
Red,56.5,65.8,93.3,7.55,2.37,2.78,82.2,Healthy
Desert,92.3,98.0,19.8,6.29,2.29,1.23,79.4,Healthy
Laterite,75.6,78.9,42.0,4.63,2.94,0.28,73.8,Moderate
Desert,100.5,105.5,94.9,8.69,0.47,2.23,66.0,Moderate
Desert,33.2,62.8,186.9,5.14,0.77,0.76,69.1,Moderate
Alluvial,132.8,23.3,189.4,7.83,2.17,2.99,62.3,Moderate
Mountain,133.2,119.3,157.1,8.8,2.25,0.3,50.4,Moderate
Red,31.5,49.7,80.1,7.57,0.37,2.62,74.7,Moderate
Black,41.1,126.1,164.9,5.0,0.8,0.53,63.4,Moderate
Laterite,119.0,7.7,164.5,7.06,1.78,3.93,62.0,Moderate
Mountain,56.5,84.2,154.5,8.61,0.69,0.24,75.8,Healthy
Black,149.2,43.8,22.4,8.03,0.93,2.52,59.2,Moderate
Alluvial,78.2,12.6,190.8,4.14,1.33,3.65,54.9,Moderate
Alluvial,45.9,60.0,196.3,8.84,2.85,3.22,40.6,Poor
Alluvial,122.4,126.5,190.9,4.94,1.03,1.1,64.1,Moderate
Laterite,90.0,74.2,134.0,5.62,2.52,1.67,77.7,Healthy
Desert,53.3,110.3,113.3,3.8,1.13,3.17,67.3,Moderate
Alluvial,98.6,63.5,56.6,7.38,2.86,3.51,80.8,Healthy
Alluvial,19.7,2.1,71.1,8.49,2.77,3.53,34.5,Poor
Desert,131.9,91.7,2.6,3.84,0.45,2.11,39.4,Poor
Red,7.8,71.9,121.2,3.64,1.95,3.28,52.4,Moderate
Laterite,49.7,78.6,44.4,6.92,1.35,2.7,84.7,Healthy
Alluvial,128.3,93.9,206.6,4.09,0.35,2.71,36.2,Poor
Alluvial,64.3,147.2,41.1,8.86,1.58,1.03,68.7,Moderate
Red,33.2,29.9,103.0,5.24,1.97,0.09,86.6,Healthy
Laterite,93.8,107.1,113.1,7.93,1.24,0.48,80.8,Healthy
Mountain,10.7,87.0,81.8,4.8,2.39,1.64,63.1,Moderate
Red,39.1,103.2,99.0,8.4,2.25,3.82,54.3,Moderate
Mountain,37.5,5.5,144.1,4.99,1.77,1.46,62.4,Moderate
Desert,2.7,122.5,9.4,3.6,1.84,3.79,25.3,Poor
Desert,48.3,58.3,132.7,6.94,2.46,1.83,83.5,Healthy
Alluvial,73.1,69.9,148.0,3.74,1.27,1.37,72.2,Moderate
Laterite,78.2,63.5,0.6,5.44,2.77,0.3,62.8,Moderate
Laterite,56.2,76.3,136.1,3.8,0.51,3.99,59.8,Moderate
Desert,147.5,100.0,11.5,4.48,2.95,3.94,28.3,Poor
Black,72.2,83.3,14.4,5.14,1.46,0.47,73.5,Moderate
Alluvial,25.4,26.1,193.2,3.88,1.16,1.23,55.1,Moderate
Alluvial,110.5,112.9,33.1,7.2,1.93,1.44,86.0,Healthy
Laterite,95.6,73.1,2.2,8.35,1.76,1.75,63.0,Moderate
Desert,7.6,148.9,49.9,5.47,0.29,3.38,32.3,Poor
Mountain,127.3,52.9,205.7,6.67,0.91,1.28,68.7,Moderate
Laterite,4.3,131.9,172.8,6.84,1.08,3.92,45.2,Poor
Red,27.9,11.4,48.7,6.95,1.73,3.31,67.4,Moderate
Black,51.0,62.4,172.9,4.41,1.69,0.5,77.9,Healthy
Desert,82.6,133.7,21.7,4.48,0.43,3.44,49.8,Poor
Red,96.3,24.3,67.4,6.67,1.37,3.48,89.6,Healthy
Alluvial,144.7,132.1,97.7,5.87,2.67,1.58,51.7,Moderate
Mountain,140.8,139.1,79.7,4.73,1.19,1.65,56.7,Moderate
Laterite,106.8,149.6,132.2,3.9,1.32,3.53,57.2,Moderate
Alluvial,19.6,86.7,200.4,5.64,2.24,0.89,58.2,Moderate
Laterite,111.3,106.8,192.1,4.07,2.45,0.11,62.7,Moderate
Black,93.1,47.5,52.5,5.18,1.72,1.15,98.0,Healthy
Desert,80.5,41.5,23.3,4.82,1.81,1.8,83.3,Healthy
Red,127.3,122.2,37.9,6.72,2.91,0.0,67.8,Moderate
Mountain,74.3,140.4,188.7,7.57,1.41,2.59,63.8,Moderate
Alluvial,70.0,55.7,17.8,8.45,1.05,2.33,77.3,Healthy
Laterite,61.9,4.9,75.2,6.12,1.05,1.34,87.7,Healthy
Desert,22.8,141.4,5.9,4.82,1.66,3.07,37.7,Poor
Desert,130.8,66.4,61.8,4.41,2.0,1.38,83.2,Healthy
Mountain,35.5,5.6,191.3,7.24,1.26,0.82,60.8,Moderate
Mountain,25.7,78.2,44.2,7.73,1.47,0.73,81.7,Healthy
Red,2.4,123.6,172.7,6.52,0.31,0.41,53.0,Moderate
Black,106.9,149.1,22.6,5.77,1.62,3.36,65.8,Moderate
Laterite,123.8,39.7,3.0,8.37,0.9,1.63,69.9,Moderate
Black,58.9,75.6,203.4,7.33,1.29,2.75,74.5,Moderate
Desert,99.5,12.6,114.9,5.53,0.71,0.94,87.1,Healthy
Laterite,113.0,99.9,72.4,8.39,2.22,0.94,76.9,Healthy
Mountain,138.2,14.6,77.1,4.98,2.97,1.44,55.4,Moderate
Desert,17.9,83.4,31.4,4.72,1.43,0.68,68.3,Moderate
Mountain,45.4,129.4,2.7,5.38,0.82,1.36,55.5,Moderate
Black,10.7,80.4,79.7,4.21,2.56,1.1,57.2,Moderate
Black,83.1,143.6,71.4,5.58,0.67,1.45,75.2,Healthy
Red,64.1,14.5,37.7,7.32,0.98,1.86,88.6,Healthy
Red,39.0,88.0,86.7,8.08,0.28,1.8,65.4,Moderate
Desert,106.6,17.6,44.3,6.02,2.54,3.93,79.4,Healthy
Desert,143.4,57.5,143.9,5.57,1.92,0.69,76.8,Healthy
Laterite,106.8,58.5,76.1,8.33,0.11,2.61,73.7,Moderate
Mountain,66.3,131.4,186.8,6.03,0.22,3.07,56.1,Moderate
Laterite,72.3,124.5,52.0,6.76,0.3,0.64,74.3,Moderate
Desert,66.6,5.9,190.0,5.46,1.21,1.89,66.0,Moderate
Desert,141.5,106.5,132.2,5.76,0.71,1.09,72.4,Moderate
Laterite,46.0,65.2,104.6,6.38,2.9,0.83,79.9,Healthy
Black,131.9,35.0,60.2,7.62,1.24,0.58,87.9,Healthy
Black,19.3,145.6,174.1,7.87,1.09,2.63,47.2,Poor
Desert,95.9,128.2,196.6,3.9,2.66,3.06,39.9,Poor
Desert,90.0,58.7,196.0,7.96,1.92,3.25,72.2,Moderate
Desert,141.5,87.8,176.4,4.75,1.85,1.79,54.7,Moderate
Black,132.4,32.9,8.4,3.81,1.67,0.25,61.2,Moderate
Laterite,121.5,20.4,172.0,6.56,0.79,3.37,75.7,Healthy
Black,59.8,20.3,63.3,5.4,1.35,2.8,81.4,Healthy
Laterite,85.5,38.9,166.7,6.87,2.06,1.79,87.2,Healthy
Black,133.5,114.1,165.7,8.92,1.77,3.83,42.1,Poor
Red,48.7,10.7,77.2,7.15,2.08,3.04,71.6,Moderate
Black,65.5,112.0,65.2,4.26,1.6,2.8,65.7,Moderate
Black,30.8,4.2,197.2,6.6,0.86,1.34,58.4,Moderate
Black,26.6,71.5,45.1,5.48,2.74,3.3,62.5,Moderate
Desert,79.2,135.6,173.9,7.35,1.9,1.53,76.5,Healthy
Red,10.5,110.2,38.9,5.15,0.14,3.34,46.9,Poor
Desert,54.2,146.1,166.7,5.32,0.2,1.46,54.8,Moderate
Red,59.8,48.8,196.5,5.97,0.98,0.21,85.9,Healthy
Laterite,88.8,98.7,13.3,4.89,2.32,1.12,68.5,Moderate
Laterite,76.7,121.3,30.8,5.95,0.64,2.43,74.6,Moderate
Red,70.2,111.4,137.3,7.8,0.32,3.73,61.9,Moderate
Alluvial,140.2,143.5,152.8,8.67,2.62,3.54,27.5,Poor
Red,32.7,132.2,189.9,6.31,2.43,2.5,51.6,Moderate
Mountain,0.5,83.5,199.1,5.51,0.74,1.51,46.9,Poor
Alluvial,76.1,134.5,132.1,4.86,0.2,2.68,57.2,Moderate
Mountain,103.8,126.3,156.4,6.58,2.3,0.97,75.1,Healthy
Mountain,36.7,89.7,160.1,7.67,0.59,0.96,69.7,Moderate
Mountain,73.0,38.9,194.9,4.61,1.45,3.33,60.9,Moderate
Alluvial,58.4,135.4,169.0,6.32,2.49,3.5,57.3,Moderate
Alluvial,100.5,59.0,76.8,5.8,1.19,3.18,91.1,Healthy
Laterite,128.2,18.5,146.2,7.44,0.83,3.1,78.1,Healthy
Red,27.5,85.0,90.0,4.82,1.88,3.58,60.9,Moderate
Laterite,107.8,102.2,20.6,7.7,1.55,3.79,69.6,Moderate
Desert,3.0,1.6,67.2,8.6,1.76,3.52,33.1,Poor
Black,71.2,115.0,158.6,4.05,1.12,2.74,57.6,Moderate
Laterite,139.2,121.0,58.1,7.23,0.21,3.92,49.9,Poor
Laterite,17.4,138.5,119.6,8.32,0.37,0.71,52.7,Moderate
Desert,40.1,133.3,179.2,7.43,0.21,1.85,45.6,Poor
Desert,136.9,138.0,89.4,3.57,0.61,1.45,47.3,Poor
Mountain,115.7,24.0,70.3,3.54,0.41,1.81,75.5,Healthy
Black,126.9,73.9,127.9,4.14,1.36,3.71,72.9,Moderate
Black,2.4,131.4,158.1,5.6,1.75,2.48,47.7,Poor
Alluvial,2.0,147.9,36.8,8.26,0.59,3.58,35.3,Poor
Laterite,9.6,22.4,112.3,8.2,1.6,1.69,70.8,Moderate
Laterite,107.4,93.6,195.6,6.8,2.49,2.05,65.2,Moderate
Mountain,81.2,130.5,173.3,7.15,0.74,0.83,72.2,Moderate
Black,38.8,117.9,27.9,8.05,1.69,1.52,63.2,Moderate
Desert,106.3,48.6,79.8,6.64,2.74,2.0,76.2,Healthy
Alluvial,105.9,121.7,96.5,4.52,1.82,1.02,82.9,Healthy
Black,8.3,11.7,91.6,7.53,2.19,2.75,57.3,Moderate
Desert,120.8,89.9,31.2,6.12,2.22,0.39,81.5,Healthy
Black,13.1,131.9,150.7,4.28,2.3,0.43,41.7,Poor
Red,140.9,139.8,126.5,6.57,1.05,3.1,54.6,Moderate
Desert,63.7,69.3,107.2,6.59,0.88,0.32,98.5,Healthy
Black,89.8,149.4,51.7,5.75,2.52,0.86,73.1,Moderate
Red,149.3,114.1,57.0,6.62,0.17,0.19,58.6,Moderate
Black,57.0,103.2,42.0,6.66,2.57,0.33,81.4,Healthy
Red,29.5,139.7,106.3,3.94,0.75,3.4,42.0,Poor
Desert,83.5,96.0,142.3,8.27,2.59,0.22,68.4,Moderate
Laterite,92.8,117.7,110.6,7.92,0.1,3.53,59.5,Moderate
Mountain,67.5,90.4,22.9,8.96,1.66,3.88,58.6,Moderate
Mountain,14.0,127.6,45.9,4.79,2.64,3.91,44.1,Poor
Red,68.1,11.4,142.6,7.98,1.31,0.32,78.0,Healthy
Red,122.5,126.5,105.3,4.6,1.91,3.36,65.6,Moderate
Laterite,33.9,67.6,177.0,3.74,1.9,0.36,59.4,Moderate
Red,115.9,69.6,98.0,7.81,2.25,2.55,86.4,Healthy
Alluvial,38.7,29.9,80.3,5.98,2.71,3.42,72.0,Moderate
Desert,55.6,43.7,51.0,7.36,1.48,0.92,95.3,Healthy
Alluvial,6.2,147.7,181.5,7.29,2.05,3.53,39.3,Poor
Mountain,55.5,144.5,24.8,8.17,0.11,0.78,53.5,Moderate
Red,5.8,35.6,193.3,5.33,1.74,2.08,54.8,Moderate
Black,107.8,42.3,91.6,8.41,0.86,3.76,78.8,Healthy
Red,134.1,132.9,102.3,4.41,0.48,0.31,59.2,Moderate
Desert,41.9,147.7,103.3,7.71,1.04,0.12,73.5,Moderate
Alluvial,142.7,52.0,119.7,6.35,0.25,2.9,62.2,Moderate
Alluvial,117.5,134.1,11.9,8.7,2.09,2.77,53.7,Moderate
Alluvial,96.4,12.0,194.6,6.47,1.62,3.52,66.9,Moderate
Black,55.3,147.9,166.9,5.49,2.66,1.78,56.6,Moderate
Red,12.4,100.5,121.3,7.81,2.7,1.78,57.9,Moderate
Desert,101.0,26.2,53.6,6.23,2.22,2.23,94.1,Healthy
Alluvial,44.9,57.4,5.4,3.99,2.77,2.97,48.5,Poor
Black,135.5,0.2,56.6,7.01,2.68,0.36,62.5,Moderate
Alluvial,86.1,48.5,161.9,8.03,0.3,3.95,68.1,Moderate
Desert,54.5,90.6,35.5,4.67,0.13,3.16,56.1,Moderate
Black,106.5,9.2,131.8,7.7,1.34,2.65,82.6,Healthy
Mountain,57.2,2.8,90.7,4.26,1.87,1.49,71.2,Moderate
Desert,16.5,71.5,111.2,3.56,2.19,0.56,63.7,Moderate
Black,108.2,50.5,97.6,7.16,0.86,2.96,92.0,Healthy
Black,46.0,41.6,120.3,6.3,1.83,1.55,91.0,Healthy
Laterite,137.5,75.4,71.0,6.87,1.93,0.27,83.6,Healthy
Alluvial,71.7,140.6,46.4,6.14,1.39,1.26,82.8,Healthy
Alluvial,107.2,76.0,150.7,5.59,0.36,3.85,67.7,Moderate
Red,117.1,140.3,89.7,4.9,1.42,1.02,77.9,Healthy
Mountain,143.7,131.8,94.2,8.38,1.1,1.74,54.4,Moderate
Alluvial,62.3,113.2,65.9,3.73,2.95,2.9,52.6,Moderate
